KLTime,Ind,Price,D
2017-01-31 09:31:00,0,100.239,0
2017-02-13 11:34:00,3633,104.44,1
2017-02-15 10:12:00,4331,100.11,-1
2017-02-22 11:02:00,5941,105.199,1
2017-02-24 09:36:00,6635,101.3,-1
2017-03-13 09:56:00,10944,106.25,1
2017-03-15 09:54:00,11722,102.599,-1
2017-03-21 09:35:00,13263,108.699,1
2017-03-22 10:19:00,13697,103.98,-1
2017-03-30 09:36:00,15994,110.449,1
2017-04-07 09:56:00,18354,106.76,-1
2017-05-02 13:04:00,24782,118.69,1
2017-05-05 11:14:00,25842,114.8,-1
2017-05-16 15:41:00,28839,124.339,1
2017-05-18 09:31:00,29249,114.0,-1
2017-05-19 09:43:00,29651,126.4,1
2017-05-24 11:05:00,30513,121.949,-1
2017-06-08 09:31:00,34319,142.85,1
2017-06-08 10:58:00,34406,135.21,-1
2017-06-09 10:40:00,34778,148.289,1
2017-06-12 09:44:00,35112,136.05,-1
2017-06-13 09:33:00,35491,142.244,1
2017-06-15 10:31:00,36329,133.1,-1
2017-06-26 09:37:00,39005,145.36,1
2017-06-29 13:33:00,40400,137.52,-1
2017-07-05 15:50:00,41530,145.0,1
2017-07-05 16:00:00,41540,140.559,-1
2017-07-19 09:35:00,45000,156.41,1
2017-07-21 09:54:00,45799,150.309,-1
2017-07-27 11:45:00,47470,160.389,1
2017-07-27 13:41:00,47586,151.33,-1
2017-07-31 09:52:00,48137,159.389,1
2017-08-02 11:08:00,48993,149.1,-1
2017-08-08 12:06:00,50611,159.839,1
2017-08-11 09:51:00,51646,147.5,-1
2017-08-24 09:31:00,55136,177.0,1
2017-08-29 09:31:00,56306,164.35,-1
2017-08-31 09:36:00,57091,172.899,1
2017-09-06 11:14:00,58359,167.0,-1
2017-09-19 09:31:00,61766,180.869,1
2017-09-26 11:53:00,63858,166.789,-1
2017-10-11 15:38:00,68373,184.699,1
2017-10-26 09:33:00,72298,168.58,-1
2017-11-02 09:31:00,74246,191.22,1
2017-11-03 10:58:00,74723,182.059,-1
2017-11-07 09:47:00,75432,189.86,1
2017-11-09 12:49:00,76394,181.05,-1
2017-11-13 11:53:00,77118,187.88,1
2017-11-15 09:40:00,77765,176.736,-1
2017-11-22 09:32:00,79707,191.75,1
2017-11-29 12:05:00,81241,173.62,-1
2017-11-29 13:29:00,81325,180.95,1
2017-12-01 09:57:00,81893,174.3,-1
2017-12-01 10:29:00,81925,179.8,1
2017-12-04 10:10:00,82296,168.26,-1
2017-12-04 13:07:00,82473,173.85,1
2017-12-05 09:31:00,82647,164.25,-1
2017-12-11 10:14:00,84205,180.68,1
2017-12-14 09:54:00,85355,169.61,-1
2017-12-22 09:32:00,87673,176.66,1
2017-12-29 09:35:00,89236,171.2,-1
2018-01-09 12:20:00,91741,192.49,1
2018-01-17 10:46:00,93597,179.32,-1
2018-01-24 10:38:00,95539,198.86,1
2018-01-24 11:33:00,95594,192.4,-1
2018-01-29 10:31:00,96702,205.69,1
2018-01-30 09:31:00,97032,196.49,-1
2018-01-31 10:03:00,97454,206.2,1
2018-02-01 09:31:00,97812,191.14,-1
2018-02-01 10:41:00,97882,199.49,1
2018-02-05 09:34:00,98595,182.0,-1
2018-02-05 10:27:00,98648,190.47,1
2018-02-06 09:31:00,98982,174.17,-1
2018-02-06 09:57:00,99008,185.319,1
2018-02-06 10:39:00,99050,177.41,-1
2018-02-07 11:54:00,99515,186.83,1
2018-02-08 12:57:00,99968,171.39,-1
2018-02-09 10:01:00,100182,177.616,1
2018-02-09 12:50:00,100351,168.88,-1
2018-02-12 09:32:00,100543,180.79,1
2018-02-12 10:28:00,100599,175.086,-1
2018-02-15 10:01:00,101742,189.56,1
2018-02-20 09:40:00,102501,183.0,-1
2018-02-21 11:34:00,103005,193.17,1
